target,horizon_minutes,n,rmse,nrmse,mae,bias,r2,resolution,resolution_minutes,model,feature_set,candidate_id,split,fit_seconds,inference_seconds
relative_humidity,60,378,2.366462471290209,0.20722039700041564,1.7261518224573822,-0.226570012292234,0.9572957461728113,12min,12,EXTRA_TREES,SHT_TIME,2,test,0.14395559998229146,0.03936970001086593
relative_humidity,120,378,2.9548723878164176,0.26674722976784687,2.064560091657318,-0.020630437977652575,0.9352443403652153,12min,12,EXTRA_TREES,SHT_TIME,2,test,0.14395559998229146,0.03936970001086593
relative_humidity,240,378,3.4440748895473834,0.28605841851915975,2.512835010154455,-0.01674229731175714,0.9134896708217537,12min,12,EXTRA_TREES,SHT_TIME,2,test,0.14395559998229146,0.03936970001086593
relative_humidity,480,378,4.616202281323272,0.3419081258501574,3.4419801320079078,-0.38056774090107437,0.8756267622429605,12min,12,EXTRA_TREES,SHT_TIME,2,test,0.14395559998229146,0.03936970001086593
temperature,60,135,1.2967827614012604,0.3454450419406311,1.0204243527113346,0.20648411605867623,0.8919609300011089,12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,validation,0.12399820005521178,0.11357259994838387
temperature,120,135,2.2019728639158576,0.5974600175534617,1.7363400434716287,0.5965359119841822,0.6768458831952698,12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,validation,0.12399820005521178,0.11357259994838387
temperature,240,135,2.3750359868952895,0.6030452747048692,1.9102850454483422,0.2525514919721875,0.6859483534719104,12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,validation,0.12399820005521178,0.11357259994838387
temperature,480,135,2.445786158680459,0.40855469445837356,1.9917935550019694,0.9061183778723239,0.6638554218761038,12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,validation,0.12399820005521178,0.11357259994838387
relative_humidity,60,135,4.92890084660628,0.43648563393374,3.700035802367052,-0.677006638366617,0.8168576525459333,12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,validation,0.12399820005521178,0.11357259994838387
relative_humidity,120,135,5.753698400650609,0.5326182730268882,4.577899751979442,-0.8848573822069736,0.7382113205862102,12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,validation,0.12399820005521178,0.11357259994838387
relative_humidity,240,135,7.482853889664531,0.6680821673400013,6.0817951881827925,-0.5085484147866425,0.638461548861186,12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,validation,0.12399820005521178,0.11357259994838387
relative_humidity,480,135,6.333016669759804,0.42307136914114235,4.43673920888084,-2.188950219587172,0.7327459904818112,12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,validation,0.12399820005521178,0.11357259994838387
temperature,60,378,0.8546243399993662,0.22084476544305662,0.5481378693166822,-0.007200888090559527,0.9536439562775196,12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,test,0.25028329994529486,0.14283820008859038
temperature,120,378,1.4018152649654643,0.36957897918327254,0.9639580466190902,0.2748370734269312,0.8793415305190159,12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,test,0.25028329994529486,0.14283820008859038
temperature,240,378,2.028013891158215,0.49162212482642254,1.4577566453767894,0.6667397165110417,0.7530026257110615,12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,test,0.25028329994529486,0.14283820008859038
temperature,480,378,1.9897339208074185,0.39140336152384153,1.4011786023984927,0.512416733192506,0.8229793912511009,12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,test,0.25028329994529486,0.14283820008859038
relative_humidity,60,378,2.354345285110484,0.20615934990537274,1.618048022845065,-0.08228439406271486,0.9577319505213083,12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,test,0.25028329994529486,0.14283820008859038
relative_humidity,120,378,3.589562750967048,0.3240430699634668,2.479096225382812,-0.604420506602558,0.9044384089441798,12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,test,0.25028329994529486,0.14283820008859038
