resolution,resolution_minutes,target,horizon_minutes,corrector,alpha,window_id,n,base_rmse,hybrid_rmse,gain_pct
12min,12,temperature,120,XGBOOST,0.5,1,34,0.9928236248842272,1.0311013714923771,-3.8554427643292164
12min,12,temperature,120,XGBOOST,0.5,2,34,0.8309064911780842,0.882017175866008,-6.151195739902997
12min,12,temperature,120,XGBOOST,0.5,3,34,1.182282449764148,1.1126611871977208,5.888716573633979
12min,12,temperature,120,XGBOOST,0.5,4,33,1.3809002728179114,1.393116156145208,-0.8846318280731718
12min,12,temperature,120,XGBOOST,0.75,1,34,0.9928236248842272,1.0584414056824454,-6.609208237351312
12min,12,temperature,120,XGBOOST,0.75,2,34,0.8309064911780842,0.9129238795691866,-9.870832549979923
12min,12,temperature,120,XGBOOST,0.75,3,34,1.182282449764148,1.087043154734571,8.055545022137158
12min,12,temperature,120,XGBOOST,0.75,4,33,1.3809002728179114,1.4075163485447928,-1.9274437300651515
12min,12,temperature,120,XGBOOST,1.0,1,34,0.9928236248842272,1.0907282268392577,-9.861228067215585
12min,12,temperature,120,XGBOOST,1.0,2,34,0.8309064911780842,0.9469459479553595,-13.965405013595573
12min,12,temperature,120,XGBOOST,1.0,3,34,1.182282449764148,1.0681767719007895,9.65130438044828
12min,12,temperature,120,XGBOOST,1.0,4,33,1.3809002728179114,1.4272430285645958,-3.3559813593284233
12min,12,temperature,240,XGBOOST,0.25,1,34,0.8221811161430995,0.9853295336159867,-19.84336714496997
12min,12,temperature,240,XGBOOST,0.25,2,34,1.2548950632784166,1.2361452924030867,1.4941305790418917
12min,12,temperature,240,XGBOOST,0.25,3,34,1.5593132231929732,1.5681419859942576,-0.5661955962385764
12min,12,temperature,240,XGBOOST,0.25,4,33,1.2562507252578228,1.3754443740329607,-9.488046166156488
12min,12,temperature,240,XGBOOST,0.5,1,34,0.8221811161430995,1.2184425781276775,-48.19637111631366
12min,12,temperature,240,XGBOOST,0.5,2,34,1.2548950632784166,1.2316750816413558,1.850352457073071
12min,12,temperature,240,XGBOOST,0.5,3,34,1.5593132231929732,1.609217783601061,-3.2004192400741243
12min,12,temperature,240,XGBOOST,0.5,4,33,1.2562507252578228,1.558656487760777,-24.072086600458743
12min,12,temperature,240,XGBOOST,0.75,1,34,0.8221811161430995,1.489015066034553,-81.10548111584113
12min,12,temperature,240,XGBOOST,0.75,2,34,1.2548950632784166,1.241638670571404,1.0563746001502516
12min,12,temperature,240,XGBOOST,0.75,3,34,1.5593132231929732,1.680177219368287,-7.751104420689966
12min,12,temperature,240,XGBOOST,0.75,4,33,1.2562507252578228,1.7862962651952001,-42.19265543736065
12min,12,temperature,240,XGBOOST,1.0,1,34,0.8221811161430995,1.780046331381935,-116.50294520655476
12min,12,temperature,240,XGBOOST,1.0,2,34,1.2548950632784166,1.2656952352349917,-0.8606434332731889
12min,12,temperature,240,XGBOOST,1.0,3,34,1.5593132231929732,1.7774448313567224,-13.988953913767606
12min,12,temperature,240,XGBOOST,1.0,4,33,1.2562507252578228,2.0435704359511564,-62.67217959470236
