resolution,resolution_minutes,model,family,split,target,horizon_minutes,n,mae,rmse,bias,r2,smape_pct,mase
4min,4,ROLLING_MEAN_6H,reference,validation,temperature,240,1446.0,4.840197985502791,6.028232486662785,0.05369971441012218,-1.2206902291916801,20.881149108852444,4.153136716330573
4min,4,DIURNAL_CLIMATOLOGY,reference,validation,temperature,240,1446.0,2.0137472294367815,2.5503421623007068,1.9675616048955127,0.6025295038212203,8.871832071141949,1.72789782174873
4min,4,PERSISTENCE,reference,validation,temperature,480,1446.0,5.549139004149377,6.736333122871294,-0.34631742738589216,-1.6239842198808128,23.952143208631355,4.761444265540893
4min,4,SEASONAL_NAIVE_24H,reference,validation,temperature,480,1446.0,1.1450576302443523,1.4943608878949972,-0.17816620562471172,0.8708706121809409,5.172261473274824,0.9825178434283189
4min,4,ROLLING_MEAN_6H,reference,validation,temperature,480,1446.0,5.950337425080682,6.899087105433611,-0.1764178512883562,-1.752310102255187,25.957845573754817,5.105692971377782
4min,4,DIURNAL_CLIMATOLOGY,reference,validation,temperature,480,1446.0,1.8722576332383227,2.3828741616018494,1.8166800419700928,0.6716656474710456,8.249202124672502,1.6064925323967976
4min,4,PERSISTENCE,reference,validation,relative_humidity,60,1446.0,3.0834330336560627,4.391927143873708,-0.10800887505763022,0.8539061085360502,4.962341369248806,0.8377410528286299
4min,4,SEASONAL_NAIVE_24H,reference,validation,relative_humidity,60,1446.0,3.6403296449976943,4.89675079001613,0.5539880129091752,0.8183908159211067,5.600407451091689,0.9890448588168723
4min,4,ROLLING_MEAN_6H,reference,validation,relative_humidity,60,1446.0,9.01309284872701,11.88221056473307,-0.5468645433123301,-0.06934117982144672,14.142115706268893,2.448776350878579
4min,4,DIURNAL_CLIMATOLOGY,reference,validation,relative_humidity,60,1446.0,4.3318979568136715,5.673448281857389,-3.068244438573509,0.7562099347144872,6.637531012454997,1.1769377558961667
4min,4,PERSISTENCE,reference,validation,relative_humidity,120,1446.0,5.91887102351314,8.308418136036325,-0.07710984324573528,0.473730684700019,9.472090509044447,1.6081040803131823
4min,4,SEASONAL_NAIVE_24H,reference,validation,relative_humidity,120,1446.0,3.6632451590594743,4.920017347463626,0.47228273397879234,0.8154540041066058,5.642692977911426,0.9952707981081377
4min,4,ROLLING_MEAN_6H,reference,validation,relative_humidity,120,1446.0,11.052969391936887,14.163753612297667,-0.5159655115004355,-0.5294246491204408,17.126938293649197,3.0029924808532975
4min,4,DIURNAL_CLIMATOLOGY,reference,validation,relative_humidity,120,1446.0,4.4153149451683085,5.740910565326712,-3.201324831525547,0.7487344657093848,6.794611511253394,1.1996014021908123
4min,4,PERSISTENCE,reference,validation,relative_humidity,240,1446.0,10.906549677270633,14.421176488016,0.34021380820654684,-0.4666973775097203,17.095824683757478,2.9632115598537148
4min,4,SEASONAL_NAIVE_24H,reference,validation,relative_humidity,240,1446.0,3.7436036191793454,5.0118079165104765,0.3865462194559704,0.8228553798680092,5.810179174856161,1.0171034697600616
4min,4,ROLLING_MEAN_6H,reference,validation,relative_humidity,240,1446.0,14.600236578556427,17.767433127787474,-0.09864186004815303,-1.2263247320914452,22.29955037455731,3.9667531058277063
4min,4,DIURNAL_CLIMATOLOGY,reference,validation,relative_humidity,240,1446.0,4.481822646764173,5.767181732062748,-3.203338523409026,0.7654332743450266,6.926371300925441,1.2176709471908114
4min,4,PERSISTENCE,reference,validation,relative_humidity,480,1446.0,16.697577800829876,19.84334861336523,0.8520602812355929,-1.6388838397709806,25.46953009016778,4.536581872825417
4min,4,SEASONAL_NAIVE_24H,reference,validation,relative_humidity,480,1446.0,3.6367778930382664,4.732550867525055,0.5388721761180266,0.8498999177051244,5.670540644771535,0.9880798797194184
4min,4,ROLLING_MEAN_6H,reference,validation,relative_humidity,480,1446.0,18.004798652732955,20.621109155628552,0.41320461298089234,-1.849800060421285,27.062076899942824,4.891742033853573
4min,4,DIURNAL_CLIMATOLOGY,reference,validation,relative_humidity,480,1446.0,4.120921810176428,5.289648435264905,-2.920173711371995,0.8124815665496427,6.397829558509837,1.1196174323229173
4min,4,PERSISTENCE,reference,test,temperature,60,2742.0,1.047466569414053,1.5807563877637925,0.019104668125455884,0.8590598575702032,4.310206392463811,0.898779736199248
4min,4,SEASONAL_NAIVE_24H,reference,test,temperature,60,2742.0,1.3056178580111841,1.7530932799052277,0.1488551543885242,0.8266535847172638,5.794922312343384,1.1202867072471323
4min,4,ROLLING_MEAN_6H,reference,test,temperature,60,2742.0,3.129821122727395,4.2998906490656825,0.2218892806008051,-0.042844697894352635,13.078340654849244,2.6855461407320615
