resolution,model,target,horizon_minutes,alpha,validation_mae,fit_seconds,inference_seconds
20min,VAR_DIRECT_RIDGE,temperature,120,0.01,1.0396130995242758,0.01036690000910312,0.000390700064599514
20min,VAR_DIRECT_RIDGE,temperature,120,0.1,0.9196246291434799,0.006447999970987439,0.00038400001358240843
20min,VAR_DIRECT_RIDGE,temperature,120,1.0,0.8881765978006045,0.003332399995997548,0.0003377000102773309
20min,VAR_DIRECT_RIDGE,temperature,120,10.0,0.9418179606870262,0.002462600008584559,0.000296599930152297
20min,VAR_DIRECT_RIDGE,temperature,120,100.0,1.0756351132952195,0.0016976000042632222,0.00031370006036013365
20min,VAR_DIRECT_RIDGE,temperature,240,0.01,1.5719388488056072,0.01030299998819828,0.0003895999398082495
20min,VAR_DIRECT_RIDGE,temperature,240,0.1,1.4247586327987325,0.006993500050157309,0.00035110011231154203
20min,VAR_DIRECT_RIDGE,temperature,240,1.0,1.3602266162407617,0.003531700000166893,0.00028730009216815233
20min,VAR_DIRECT_RIDGE,temperature,240,10.0,1.2812591803597253,0.002145600039511919,0.0003369000041857362
20min,VAR_DIRECT_RIDGE,temperature,240,100.0,1.1949524252587695,0.001786300097592175,0.0002669999375939369
20min,VAR_DIRECT_RIDGE,temperature,480,0.01,2.3346210103910696,0.011162000009790063,0.0003701000241562724
20min,VAR_DIRECT_RIDGE,temperature,480,0.1,1.863795028079922,0.005604199948720634,0.00030529999639838934
20min,VAR_DIRECT_RIDGE,temperature,480,1.0,1.530788257173444,0.0032099999953061342,0.00040819996502250433
20min,VAR_DIRECT_RIDGE,temperature,480,10.0,1.338572229179038,0.0026196000399068,0.000610699993558228
20min,VAR_DIRECT_RIDGE,temperature,480,100.0,1.2934207641506485,0.002778799971565604,0.0002695999573916197
20min,VAR_DIRECT_RIDGE,relative_humidity,60,0.01,2.027197715932958,0.010634000063873827,0.000394799979403615
20min,VAR_DIRECT_RIDGE,relative_humidity,60,0.1,1.8232021582189626,0.006374999997206032,0.00037150003481656313
20min,VAR_DIRECT_RIDGE,relative_humidity,60,1.0,1.9965167999734152,0.0033020999981090426,0.0002883999841287732
