family_a,family_b,resolution_minutes,target,horizon_minutes,n_origins,newey_west_lag,mean_squared_error_difference_a_minus_b,newey_west_long_run_variance,dm_statistic,p_value,status,direction,p_value_holm_global,significant_after_global_holm
HYBRID_ROBUST,MACHINE_LEARNING,60,relative_humidity,480,211,7,-10.165031194207293,3924.087032369248,-2.357114219862834,0.018417580908152324,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,60,temperature,60,211,0,-0.005348360315448119,2.439281789779549,-0.0497428768179156,0.9603272879722542,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,60,temperature,120,211,1,-0.5252294553031991,28.119838250559564,-1.4387452149067177,0.150222723606373,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,60,temperature,240,211,3,-1.1536227690695624,74.46637594898101,-1.9418913959994857,0.052150249224567,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,60,temperature,480,211,7,-1.266879464374481,83.17353419687421,-2.017827080220937,0.04360927351869006,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,DEEP_LEARNING,4,relative_humidity,60,2742,14,-3.2425744104440133,3014.4454419740905,-3.092573016594223,0.0019842941201234066,ok,HYBRID_ROBUST_better,0.3214556474599919,False
HYBRID_ROBUST,DEEP_LEARNING,4,relative_humidity,120,2742,29,0.9135125182249819,10477.112854239527,0.4673340418054072,0.6402609046636402,ok,DEEP_LEARNING_better,1.0,False
HYBRID_ROBUST,DEEP_LEARNING,4,relative_humidity,240,2742,59,1.9252081711215887,32069.454022132697,0.5629445751820367,0.5734726257021762,ok,DEEP_LEARNING_better,1.0,False
HYBRID_ROBUST,DEEP_LEARNING,4,relative_humidity,480,2742,119,1.1636785773179699,35929.51574207486,0.3214704680825486,0.7478538885937669,ok,DEEP_LEARNING_better,1.0,False
HYBRID_ROBUST,DEEP_LEARNING,4,temperature,60,2742,14,-0.4286173174784148,48.340668453795885,-3.2281009927072355,0.0012461497049951107,ok,HYBRID_ROBUST_better,0.20436855161919815,False
HYBRID_ROBUST,DEEP_LEARNING,4,temperature,120,2742,29,-0.4553311109523159,237.79262581739877,-1.5461864351989567,0.12205954856784092,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,DEEP_LEARNING,4,temperature,240,2742,59,-0.5324394835692579,851.0929254449334,-0.9556865820044071,0.33923060355828005,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,DEEP_LEARNING,4,temperature,480,2742,119,0.8211949359705669,848.0027609792107,1.4766628692243682,0.13976603002331955,ok,DEEP_LEARNING_better,1.0,False
HYBRID_ROBUST,DEEP_LEARNING,12,relative_humidity,60,378,4,-3.6927081745244266,905.0826685477775,-2.38641935878154,0.01701333817285324,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,DEEP_LEARNING,12,relative_humidity,120,378,9,-14.61823409006797,3800.2686473889366,-4.610347517691563,4.019964059723131e-06,ok,HYBRID_ROBUST_better,0.000735653422929333,True
HYBRID_ROBUST,DEEP_LEARNING,12,relative_humidity,240,378,19,-10.765589933364815,5829.679455380499,-2.7413304828452882,0.006119092639615998,ok,HYBRID_ROBUST_better,0.9606975444197117,False
HYBRID_ROBUST,DEEP_LEARNING,12,relative_humidity,480,378,39,2.063043822373553,9472.423452035555,0.41212010416205325,0.6802513937914195,ok,DEEP_LEARNING_better,1.0,False
HYBRID_ROBUST,DEEP_LEARNING,12,temperature,60,378,4,-0.5310146493987794,23.6732873874311,-2.121891226545142,0.03384687337386453,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,DEEP_LEARNING,12,temperature,120,378,9,-0.7467946639371078,29.802848923003577,-2.6596115812380288,0.00782308122659384,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,DEEP_LEARNING,12,temperature,240,378,19,-0.5294257491140217,60.87838242445631,-1.3192266241267465,0.18709335996463083,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,DEEP_LEARNING,12,temperature,480,378,39,-1.2605924245718738,134.89524869867168,-2.1101934287212676,0.034841698323769626,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,DEEP_LEARNING,20,relative_humidity,60,556,2,-5.381401120172947,903.7111707339225,-4.221025106080788,2.4319384621621057e-05,ok,HYBRID_ROBUST_better,0.0043531698472701694,True
HYBRID_ROBUST,DEEP_LEARNING,20,relative_humidity,120,556,5,-2.1844559896866103,2157.5064367194823,-1.1089313086146502,0.2674598162118649,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,DEEP_LEARNING,20,relative_humidity,240,556,11,-10.94537224026424,5608.698597601895,-3.4461714538139594,0.0005685894868929028,ok,HYBRID_ROBUST_better,0.09438585482422186,False
HYBRID_ROBUST,DEEP_LEARNING,20,relative_humidity,480,556,23,-0.03920358044664069,11643.864974605136,-0.008566719524108927,0.9931648303591041,ok,HYBRID_ROBUST_better,1.0,False
