target,horizon_minutes,n,rmse,nrmse,r2,mae,bias,resolution,resolution_minutes,architecture,feature_set,candidate_id,split,epochs,independent_runs
temperature,240,239,2.056862495822507,0.44416875432557584,0.7334914803504944,1.6040199995040894,-0.9913159012794495,20min,20,LSTM,SHT_TIME,1,validation,61,3
temperature,480,239,1.8854963872364587,0.3497860833395518,0.7913622856140137,1.529298186302185,-0.7223948240280151,20min,20,LSTM,SHT_TIME,1,validation,61,3
relative_humidity,60,239,4.901287898311401,0.43874338287496634,0.8102160692214966,3.7616114616394043,1.0571497678756714,20min,20,LSTM,SHT_TIME,1,validation,61,3
relative_humidity,120,239,5.687348416163365,0.5294320679970538,0.750105619430542,4.066019535064697,2.0211029052734375,20min,20,LSTM,SHT_TIME,1,validation,61,3
relative_humidity,240,239,5.954473067511411,0.48783475805175464,0.744983971118927,4.296370029449463,2.0907821655273438,20min,20,LSTM,SHT_TIME,1,validation,61,3
relative_humidity,480,239,5.098684530209594,0.3717943564166777,0.8283145427703857,3.968363046646118,0.572456419467926,20min,20,LSTM,SHT_TIME,1,validation,61,3
temperature,60,239,2.5097968786052567,0.6363860864048576,0.557702898979187,1.8488085269927979,-1.4968634843826294,20min,20,MLP,SHT_TIME,2,validation,35,3
temperature,120,239,2.282383049499701,0.6003148470248098,0.6475560069084167,1.5313133001327515,-1.0565987825393677,20min,20,MLP,SHT_TIME,2,validation,35,3
temperature,240,239,1.8796303477996696,0.40589639408096434,0.7774408459663391,1.570076584815979,-1.0516135692596436,20min,20,MLP,SHT_TIME,2,validation,35,3
temperature,480,239,1.7187935563550603,0.3188603649503034,0.8266240358352661,1.405225396156311,-0.7844775915145874,20min,20,MLP,SHT_TIME,2,validation,35,3
relative_humidity,60,239,6.042213397664793,0.5408743989630186,0.7115762233734131,4.894652843475342,-0.1562189757823944,20min,20,MLP,SHT_TIME,2,validation,35,3
relative_humidity,120,239,7.052898801219548,0.6565503859569326,0.6156984567642212,5.292484760284424,0.8932252526283264,20min,20,MLP,SHT_TIME,2,validation,35,3
relative_humidity,240,239,5.376782498768431,0.4405060464031698,0.7920658588409424,4.019956588745117,0.937027633190155,20min,20,MLP,SHT_TIME,2,validation,35,3
relative_humidity,480,239,5.184688495633361,0.37806573657062836,0.8224737644195557,3.9098129272460938,-0.3288578689098358,20min,20,MLP,SHT_TIME,2,validation,35,3
temperature,60,239,2.446445288019278,0.6203226068682434,0.5797498226165771,1.7867214679718018,-0.7678696513175964,20min,20,TCN,SHT_TIME,1,validation,58,3
temperature,120,239,2.843264360146571,0.7478384532283593,0.4530501961708069,2.042448043823242,-0.4053114354610443,20min,20,TCN,SHT_TIME,1,validation,58,3
temperature,240,239,2.8362208033101717,0.6124671259051785,0.4932652711868286,1.8566442728042603,-1.267648696899414,20min,20,TCN,SHT_TIME,1,validation,58,3
temperature,480,239,3.1091865214055807,0.5767978040459617,0.4326710104942322,2.41874623298645,-1.9795281887054443,20min,20,TCN,SHT_TIME,1,validation,58,3
