resolution,architecture,candidate_id,seed,training_scope,epoch,loss,val_loss
4min,LSTM,1,2027,train_with_validation_monitoring,11,0.25769737362861633,0.15325260162353516
4min,LSTM,1,2027,train_with_validation_monitoring,12,0.2400520145893097,0.1301359236240387
4min,LSTM,1,2027,train_with_validation_monitoring,13,0.23103958368301392,0.1328846514225006
4min,LSTM,1,2027,train_with_validation_monitoring,14,0.21076001226902008,0.1352427899837494
4min,LSTM,1,2027,train_with_validation_monitoring,15,0.21747460961341858,0.13410551846027374
4min,LSTM,1,2027,train_with_validation_monitoring,16,0.21930712461471558,0.1348324567079544
4min,LSTM,1,2027,train_with_validation_monitoring,17,0.20355772972106934,0.12536406517028809
4min,LSTM,1,2027,train_with_validation_monitoring,18,0.20308718085289001,0.1344767063856125
4min,LSTM,1,2027,train_with_validation_monitoring,19,0.1982753574848175,0.13669566810131073
4min,LSTM,1,2027,train_with_validation_monitoring,20,0.18334951996803284,0.11691292375326157
4min,LSTM,1,2027,train_with_validation_monitoring,21,0.20160076022148132,0.11988312751054764
4min,LSTM,1,2027,train_with_validation_monitoring,22,0.19607514142990112,0.1276749074459076
4min,LSTM,1,2027,train_with_validation_monitoring,23,0.1980513483285904,0.1287393569946289
4min,LSTM,1,2027,train_with_validation_monitoring,24,0.19466347992420197,0.13741306960582733
4min,LSTM,1,2027,train_with_validation_monitoring,25,0.1966996043920517,0.12291783839464188
4min,LSTM,1,2027,train_with_validation_monitoring,26,0.17801342904567719,0.12113258987665176
4min,LSTM,1,2027,train_with_validation_monitoring,27,0.17743763327598572,0.1166294664144516
4min,LSTM,1,2027,train_with_validation_monitoring,28,0.16402755677700043,0.11964540183544159
4min,LSTM,1,2027,train_with_validation_monitoring,29,0.1718694418668747,0.11640171706676483
4min,LSTM,1,2027,train_with_validation_monitoring,30,0.16463597118854523,0.12386901676654816
4min,LSTM,1,2027,train_with_validation_monitoring,31,0.16515351831912994,0.11414625495672226
4min,LSTM,1,2027,train_with_validation_monitoring,32,0.16953045129776,0.12125561386346817
4min,LSTM,1,2027,train_with_validation_monitoring,33,0.16230006515979767,0.13088415563106537
4min,LSTM,1,2027,train_with_validation_monitoring,34,0.15483760833740234,0.11975912004709244
4min,LSTM,1,2027,train_with_validation_monitoring,35,0.15594413876533508,0.11834927648305893
4min,LSTM,1,2027,train_with_validation_monitoring,36,0.14719559252262115,0.12561246752738953
4min,LSTM,1,2027,train_with_validation_monitoring,37,0.1592990756034851,0.12564319372177124
4min,LSTM,1,2027,train_with_validation_monitoring,38,0.145587757229805,0.12236513942480087
4min,LSTM,1,2027,train_with_validation_monitoring,39,0.1515348106622696,0.12299377471208572
4min,LSTM,1,2027,train_with_validation_monitoring,40,0.14611563086509705,0.12805499136447906
4min,LSTM,1,2027,train_with_validation_monitoring,41,0.1566498726606369,0.12939776480197906
4min,LSTM,1,2028,train_with_validation_monitoring,1,0.9086950421333313,0.6974425911903381
4min,LSTM,1,2028,train_with_validation_monitoring,2,0.6956867575645447,0.5450425744056702
4min,LSTM,1,2028,train_with_validation_monitoring,3,0.5394253134727478,0.3992011547088623
4min,LSTM,1,2028,train_with_validation_monitoring,4,0.42161446809768677,0.29427969455718994
4min,LSTM,1,2028,train_with_validation_monitoring,5,0.36970463395118713,0.24597762525081635
4min,LSTM,1,2028,train_with_validation_monitoring,6,0.34388259053230286,0.2037040889263153
4min,LSTM,1,2028,train_with_validation_monitoring,7,0.31530120968818665,0.1874292492866516
4min,LSTM,1,2028,train_with_validation_monitoring,8,0.2892879843711853,0.17650313675403595
4min,LSTM,1,2028,train_with_validation_monitoring,9,0.25998780131340027,0.16939926147460938
4min,LSTM,1,2028,train_with_validation_monitoring,10,0.27650031447410583,0.15849453210830688
