resolution,target,family,candidate_id,parameters,fit_partition,fit_rows,fit_median,fit_seconds,inference_seconds,aic,bic,status
30min,temperature,STATE_SPACE,1,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local level"", ""stochastic_level"": true}",train,5040,22.767544642857146,3.218507400015369,0.2891929999459535,9583.41338929776,9616.032246831643,ok
30min,temperature,STATE_SPACE,2,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local linear trend"", ""stochastic_level"": true, ""stochastic_trend"": true}",train,5040,22.767544642857146,7.779650900047272,0.29951849998906255,9599.452120667827,9638.593557458109,ok
30min,temperature,STATE_SPACE,3,"{""autoregressive"": 2, ""harmonics"": 6, ""level"": ""local linear trend"", ""stochastic_level"": true, ""stochastic_trend"": true}",train,5040,22.767544642857146,9.911069500027224,0.3249297000002116,8221.571778854777,8267.228436881502,ok
30min,temperature,ARTFIMA_APPROX,1,"{""arma_order"": [1, 0], ""fractional_d"": 0.15, ""tempering_lambda"": 0.005}",train,5040,22.767544642857146,0.3141806999919936,0.5379954000236467,12493.499274395315,12513.074758478511,ok
30min,temperature,ARTFIMA_APPROX,2,"{""arma_order"": [1, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.01}",train,5040,22.767544642857146,0.7765921000391245,0.5144188000122085,10685.633485088467,10711.734130532728,ok
30min,temperature,ARTFIMA_APPROX,3,"{""arma_order"": [2, 0], ""fractional_d"": 0.35, ""tempering_lambda"": 0.01}",train,5040,22.767544642857146,0.6896427000174299,0.5300394999794662,10441.700551239232,10467.801196683493,ok
30min,temperature,ARTFIMA_APPROX,4,"{""arma_order"": [2, 1], ""fractional_d"": 0.25, ""tempering_lambda"": 0.02}",train,5040,22.767544642857146,0.9098094999790192,0.4696834000060335,10256.096105477383,10288.72191228271,ok
30min,relative_humidity,ARIMA,1,"{""order"": [1, 0, 0], ""trend"": ""c""}",train,5040,70.23,0.2778217000886798,0.3965099999913946,23426.22785283358,23445.80333691678,ok
30min,relative_humidity,ARIMA,2,"{""order"": [2, 0, 0], ""trend"": ""c""}",train,5040,70.23,0.2758814999833703,0.4403631999157369,19473.364254861437,19499.4649003057,ok
30min,relative_humidity,ARIMA,3,"{""order"": [1, 0, 1], ""trend"": ""c""}",train,5040,70.23,0.47703890001866966,0.3895030999556184,20904.41393704548,20930.51458248974,ok
30min,relative_humidity,ARIMA,4,"{""order"": [1, 1, 1], ""trend"": ""t""}",train,5040,70.23,0.3222550000064075,0.4786452999105677,19758.017099091885,19784.11695080661,ok
30min,relative_humidity,SARIMA_DAILY_DIFFERENCE,1,"{""order"": [1, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train,5040,70.23,0.15607349993661046,0.39575069991406053,20336.626421094203,20356.17319682435,ok
30min,relative_humidity,SARIMA_DAILY_DIFFERENCE,2,"{""order"": [2, 0, 0], ""seasonal_difference"": 1, ""trend"": ""c""}",train,5040,70.23,0.3349213000619784,0.42969430005177855,19726.022765739715,19752.08513337991,ok
30min,relative_humidity,SARIMA_DAILY_DIFFERENCE,3,"{""order"": [1, 0, 1], ""seasonal_difference"": 1, ""trend"": ""c""}",train,5040,70.23,0.40586729999631643,0.40695870004128665,19719.07492161426,19745.137289254457,ok
30min,relative_humidity,SARIMA_EXACT,1,"{""order"": [1, 0, 0], ""seasonal_order_base"": [1, 0, 0], ""trend"": ""c""}",train,5040,70.23,84.64938269997947,6.948920499999076,19585.85358916846,19611.91515544634,ok
30min,relative_humidity,SARIMA_EXACT,2,"{""order"": [1, 0, 1], ""seasonal_order_base"": [0, 1, 1], ""trend"": ""c""}",train,5040,70.23,162.3364935000427,12.327132600010373,16827.8686976721,16860.396324604844,ok
30min,relative_humidity,STATE_SPACE,1,"{""autoregressive"": 1, ""harmonics"": 3, ""level"": ""local level"", ""stochastic_level"": true}",train,5040,70.23,2.7813172000460327,0.24964249995537102,19151.939485537197,19184.55834307108,ok
